
23:50:07:417766 02/06/2022 | РЎРІСЏР·СЊ СЃ СЃРµСЂРІРµСЂРѕРј СѓСЃС‚Р°РЅРѕРІР»РµРЅР°
23:50:09:064982 02/06/2022 | Р¤Р°Р№Р» test_ya_disc.txt СѓСЃРїРµС€РЅРѕ Р·Р°РіСЂСѓР¶РµРЅ РЅР° РЇ.Р”РёСЃРє
19:12:03:308925 05/06/2022 | Связь с сервером установлена
19:13:27:310215 05/06/2022 | Связь с сервером установлена
19:13:42:969653 05/06/2022 | Связь с сервером установлена
19:13:44:136450 05/06/2022 | Файл %2Ffiles_for_netology%2Ftest_ya_disc.txt успешно загружен на Я.Диск
19:14:23:221021 05/06/2022 | Связь с сервером установлена
19:14:25:266933 05/06/2022 | Файл %2Ffiles_for_netology%2Ftest_ya_disc.txt успешно загружен на Я.Диск
19:15:08:175488 05/06/2022 | Связь с сервером установлена
19:15:09:505837 05/06/2022 | Файл /files_for_netology/test_ya_disc.txt успешно загружен на Я.Диск
19:17:44:945962 05/06/2022 | Связь с сервером установлена
19:17:46:279542 05/06/2022 | Файл /files_for_netology/test_ya_disc.txt успешно загружен на Я.Диск
19:19:06:561887 05/06/2022 | Связь с сервером установлена
19:19:08:839949 05/06/2022 | Файл /files_for_netology/test_ya_disc.txt успешно загружен на Я.Диск
19:23:21:337236 05/06/2022 | Связь с сервером установлена
19:23:22:667166 05/06/2022 | Файл /files_for_netology/Beginning Python Games Development, 2nd Edition.pdf успешно загружен на Я.Диск
19:23:23:103108 05/06/2022 | Связь с сервером установлена
19:23:24:208648 05/06/2022 | Файл /files_for_netology/Black Hat Python.pdf успешно загружен на Я.Диск
19:23:24:705350 05/06/2022 | Связь с сервером установлена
19:23:26:008076 05/06/2022 | Файл /files_for_netology/Create Simple GUI Applications with Python and Qt5 (Fitzpatrick).pdf успешно загружен на Я.Диск
19:23:26:656968 05/06/2022 | Связь с сервером установлена
19:23:28:645883 05/06/2022 | Файл /files_for_netology/Creating Apps in Kivy.pdf успешно загружен на Я.Диск
19:23:29:223230 05/06/2022 | Связь с сервером установлена
19:23:30:347168 05/06/2022 | Файл /files_for_netology/Doing Math with Python.pdf успешно загружен на Я.Диск
19:23:30:766319 05/06/2022 | Связь с сервером установлена
